episode,score
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,40.0
8,50.0
9,15.0
10,20.0
11,5.0
12,50.0
13,50.0
14,80.0
15,50.0
16,45.0
17,105.0
18,65.0
19,80.0
20,50.0
21,105.0
22,35.0
23,30.0
24,75.0
25,20.0
26,0.0
27,5.0
28,0.0
29,45.0
30,150.0
31,15.0
32,5.0
33,30.0
34,45.0
35,25.0
36,110.0
37,90.0
38,100.0
39,110.0
40,30.0
41,70.0
42,30.0
43,30.0
44,75.0
45,35.0
46,30.0
47,75.0
48,40.0
49,30.0
50,110.0
51,145.0
52,95.0
53,115.0
54,75.0
55,185.0
56,140.0
57,115.0
58,180.0
59,115.0
60,60.0
61,80.0
62,115.0
63,115.0
64,55.0
65,85.0
66,115.0
67,115.0
68,15.0
69,115.0
70,115.0
71,80.0
72,140.0
73,55.0
74,80.0
75,80.0
76,115.0
77,55.0
78,115.0
79,115.0
80,115.0
81,115.0
82,115.0
83,115.0
84,75.0
85,115.0
86,115.0
87,60.0
88,115.0
89,115.0
90,115.0
91,115.0
92,115.0
93,115.0
94,85.0
95,80.0
96,115.0
97,115.0
98,80.0
99,115.0
100,115.0
101,115.0
102,80.0
103,80.0
104,115.0
105,80.0
106,115.0
107,115.0
108,85.0
109,80.0
110,45.0
111,115.0
112,115.0
113,115.0
114,85.0
115,115.0
116,115.0
117,85.0
118,115.0
119,115.0
120,115.0
121,55.0
122,115.0
123,115.0
124,75.0
125,115.0
126,115.0
127,115.0
128,115.0
129,115.0
130,115.0
131,50.0
132,115.0
133,115.0
134,45.0
135,115.0
136,115.0
137,115.0
138,60.0
139,115.0
140,115.0
141,80.0
142,115.0
143,85.0
144,115.0
145,80.0
146,115.0
147,80.0
148,80.0
149,115.0
150,115.0
151,115.0
152,115.0
153,80.0
154,115.0
155,115.0
156,115.0
157,60.0
158,80.0
159,115.0
160,85.0
161,115.0
162,60.0
163,80.0
164,80.0
165,85.0
166,110.0
167,90.0
168,85.0
169,80.0
170,115.0
171,115.0
172,90.0
173,80.0
174,105.0
175,20.0
176,75.0
177,130.0
178,75.0
179,80.0
180,80.0
181,115.0
182,70.0
183,85.0
184,75.0
185,35.0
186,85.0
187,130.0
188,35.0
189,115.0
190,80.0
191,110.0
192,120.0
193,0.0
194,80.0
195,85.0
196,105.0
197,110.0
198,55.0
199,125.0
200,110.0
201,80.0
202,130.0
203,130.0
204,115.0
205,110.0
206,0.0
207,130.0
208,35.0
209,85.0
210,110.0
211,130.0
212,80.0
213,115.0
214,120.0
215,30.0
216,85.0
217,110.0
218,5.0
219,120.0
220,55.0
221,135.0
222,0.0
223,140.0
224,60.0
225,115.0
226,65.0
227,5.0
228,0.0
229,0.0
230,110.0
231,0.0
232,110.0
233,0.0
234,140.0
235,110.0
236,60.0
237,95.0
238,105.0
239,115.0
240,5.0
241,85.0
242,75.0
243,55.0
244,65.0
245,75.0
246,0.0
247,100.0
