episode,score
1,0.0
2,0.0
3,0.0
4,0.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,2.0
11,1.0
12,4.0
13,1.0
14,2.0
15,4.0
16,2.0
17,1.0
18,0.0
19,1.0
20,1.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,1.0
76,1.0
77,3.0
78,0.0
79,1.0
80,1.0
81,0.0
82,1.0
83,2.0
84,1.0
85,2.0
86,2.0
87,1.0
88,1.0
89,0.0
90,0.0
91,0.0
92,1.0
93,0.0
94,1.0
95,0.0
96,0.0
97,0.0
98,1.0
99,0.0
100,1.0
101,1.0
102,0.0
103,0.0
104,1.0
105,0.0
106,1.0
107,3.0
108,2.0
109,7.0
110,7.0
111,11.0
112,3.0
113,3.0
114,7.0
115,3.0
116,7.0
117,11.0
118,3.0
119,11.0
120,7.0
121,11.0
122,4.0
123,3.0
124,3.0
125,2.0
126,4.0
127,3.0
128,4.0
129,7.0
130,7.0
131,3.0
132,7.0
133,11.0
134,7.0
135,3.0
136,11.0
137,3.0
138,11.0
139,3.0
140,3.0
141,4.0
142,7.0
143,7.0
144,3.0
145,3.0
146,3.0
147,2.0
148,11.0
149,7.0
150,3.0
151,2.0
152,4.0
153,7.0
154,3.0
155,2.0
156,3.0
157,0.0
158,11.0
159,2.0
160,3.0
161,11.0
162,3.0
163,3.0
164,2.0
165,1.0
166,2.0
167,7.0
168,11.0
169,7.0
170,1.0
171,3.0
172,3.0
173,11.0
174,7.0
175,2.0
176,3.0
177,3.0
178,7.0
179,7.0
180,1.0
181,2.0
182,11.0
183,3.0
184,7.0
185,3.0
186,2.0
187,3.0
188,1.0
189,3.0
190,3.0
191,7.0
192,7.0
193,2.0
194,3.0
195,3.0
196,2.0
197,7.0
198,7.0
199,7.0
200,7.0
201,3.0
202,2.0
203,7.0
204,7.0
205,1.0
206,3.0
207,3.0
208,2.0
209,3.0
210,2.0
211,11.0
212,7.0
213,7.0
214,8.0
215,7.0
216,1.0
217,7.0
218,3.0
219,5.0
220,7.0
221,2.0
222,2.0
223,2.0
224,7.0
225,7.0
226,11.0
227,3.0
228,3.0
229,2.0
230,7.0
231,7.0
232,7.0
233,2.0
234,3.0
235,7.0
236,7.0
237,7.0
238,3.0
239,3.0
240,7.0
241,7.0
242,2.0
243,11.0
244,2.0
245,3.0
246,7.0
247,3.0
