episode,score
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,2.0
14,2.0
15,2.0
16,2.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,1.0
47,2.0
48,3.0
49,3.0
50,3.0
51,3.0
52,3.0
53,3.0
54,11.0
55,7.0
56,11.0
57,7.0
58,3.0
59,4.0
60,7.0
61,11.0
62,2.0
63,3.0
64,2.0
65,3.0
66,2.0
67,2.0
68,2.0
69,7.0
70,3.0
71,3.0
72,3.0
73,11.0
74,7.0
75,7.0
76,7.0
77,11.0
78,2.0
79,2.0
80,4.0
81,7.0
82,7.0
83,7.0
84,3.0
85,2.0
86,2.0
87,3.0
88,2.0
89,3.0
90,11.0
91,7.0
92,7.0
93,12.0
94,2.0
95,10.0
96,7.0
97,3.0
98,3.0
99,7.0
100,3.0
101,7.0
102,11.0
103,3.0
104,2.0
105,3.0
106,3.0
107,3.0
108,2.0
109,7.0
110,2.0
111,3.0
112,1.0
113,3.0
114,3.0
115,3.0
116,7.0
117,3.0
118,11.0
119,7.0
120,7.0
121,7.0
122,11.0
123,7.0
124,3.0
125,3.0
126,3.0
127,3.0
128,7.0
129,7.0
130,3.0
131,7.0
132,2.0
133,2.0
134,2.0
135,2.0
136,2.0
137,2.0
138,3.0
139,1.0
140,7.0
141,2.0
142,3.0
143,3.0
144,7.0
145,3.0
146,3.0
147,5.0
148,3.0
149,7.0
150,2.0
151,2.0
152,7.0
153,7.0
154,11.0
155,3.0
156,11.0
157,1.0
158,7.0
159,2.0
160,3.0
161,1.0
162,3.0
163,7.0
164,1.0
165,3.0
166,7.0
167,3.0
168,3.0
169,2.0
170,11.0
171,2.0
172,11.0
173,2.0
174,3.0
175,7.0
176,2.0
177,3.0
178,7.0
179,11.0
180,7.0
181,3.0
182,7.0
183,2.0
184,11.0
185,3.0
186,7.0
187,7.0
188,2.0
189,11.0
190,2.0
191,7.0
192,3.0
193,11.0
194,7.0
195,3.0
196,2.0
197,3.0
198,2.0
199,3.0
200,3.0
201,7.0
202,7.0
203,2.0
204,2.0
205,11.0
206,3.0
207,3.0
208,7.0
209,2.0
210,3.0
211,3.0
212,3.0
213,11.0
214,11.0
215,7.0
216,1.0
217,2.0
218,11.0
219,7.0
220,7.0
221,3.0
222,2.0
223,3.0
224,7.0
225,2.0
226,7.0
227,11.0
228,11.0
229,7.0
230,2.0
231,2.0
232,11.0
233,7.0
234,11.0
235,1.0
236,11.0
237,2.0
238,3.0
239,1.0
240,1.0
241,2.0
242,3.0
243,7.0
244,2.0
245,1.0
246,3.0
247,3.0
